

Ente;Candidato;Liste/Gruppi;Voti lista;;
MERCATO SAN SEVERINO;GAMBARDELLA ALFONSO;IL POPOLO DELLA FAMIGLIA;52;;
MERCATO SAN SEVERINO;PANICCI STEFANO;PARTITO COMUNISTA;52;;
MERCATO SAN SEVERINO;GERARDI GIOVANNA;CASAPOUND ITALIA;44;;
MERCATO SAN SEVERINO;FALANGA CAROLINA;PARTITO REPUBBLICANO ITALIANO - ALA;34;;
MERCATO SAN SEVERINO;TORRE VALERIO;PER UNA SINISTRA RIVOLUZIONARIA;14;;
MERCATO SAN SEVERINO;MORINELLI ROSALBA;PARTITO VALORE UMANO;10;;
MINORI;IANNUZZI BARBATO;PARTITO DEMOCRATICO;511;;
MINORI;;ITALIA EUROPA INSIEME;50;;
MINORI;;+EUROPA;20;;
MINORI;;CIVICA POPOLARE LORENZIN;10;;
MINORI;MARRAZZO PASQUALE;FORZA ITALIA;237;;
MINORI;;FRATELLI D'ITALIA CON GIORGIA MELONI;130;;
MINORI;;LEGA;45;;
MINORI;;NOI CON L'ITALIA - UDC;16;;
MINORI;CIOFFI ANDREA;MOVIMENTO 5 STELLE;335;;
MINORI;LAMBIASE GIOVANNI;LIBERI E UGUALI;39;;
MINORI;RESTAINO VALENTINA;POTERE AL POPOLO!;29;;
MINORI;NACCHIA ANNA MARIA;ITALIA AGLI ITALIANI;9;;
MINORI;GAMBARDELLA ALFONSO;IL POPOLO DELLA FAMIGLIA;6;;
MINORI;PANICCI STEFANO;PARTITO COMUNISTA;3;;
MINORI;TORRE VALERIO;PER UNA SINISTRA RIVOLUZIONARIA;2;;
MINORI;GERARDI GIOVANNA;CASAPOUND ITALIA;0;;
MINORI;MORINELLI ROSALBA;PARTITO VALORE UMANO;0;;
MINORI;FALANGA CAROLINA;PARTITO REPUBBLICANO ITALIANO - ALA;0;;
NOCERA INFERIORE;CIOFFI ANDREA;MOVIMENTO 5 STELLE;10046;;
NOCERA INFERIORE;MARRAZZO PASQUALE;FORZA ITALIA;3854;;
NOCERA INFERIORE;;FRATELLI D'ITALIA CON GIORGIA MELONI;992;;
NOCERA INFERIORE;;LEGA;792;;
NOCERA INFERIORE;;NOI CON L'ITALIA - UDC;409;;
NOCERA INFERIORE;IANNUZZI BARBATO;PARTITO DEMOCRATICO;2826;;
NOCERA INFERIORE;;+EUROPA;285;;
NOCERA INFERIORE;;CIVICA POPOLARE LORENZIN;193;;
NOCERA INFERIORE;;ITALIA EUROPA INSIEME;166;;
NOCERA INFERIORE;LAMBIASE GIOVANNI;LIBERI E UGUALI;430;;
NOCERA INFERIORE;GAMBARDELLA ALFONSO;IL POPOLO DELLA FAMIGLIA;247;;
NOCERA INFERIORE;RESTAINO VALENTINA;POTERE AL POPOLO!;216;;
NOCERA INFERIORE;NACCHIA ANNA MARIA;ITALIA AGLI ITALIANI;108;;
NOCERA INFERIORE;GERARDI GIOVANNA;CASAPOUND ITALIA;83;;
NOCERA INFERIORE;PANICCI STEFANO;PARTITO COMUNISTA;71;;
NOCERA INFERIORE;TORRE VALERIO;PER UNA SINISTRA RIVOLUZIONARIA;23;;
NOCERA INFERIORE;MORINELLI ROSALBA;PARTITO VALORE UMANO;20;;
NOCERA INFERIORE;FALANGA CAROLINA;PARTITO REPUBBLICANO ITALIANO - ALA;4;;
NOCERA SUPERIORE;CIOFFI ANDREA;MOVIMENTO 5 STELLE;5983;;
NOCERA SUPERIORE;MARRAZZO PASQUALE;FORZA ITALIA;1794;;
NOCERA SUPERIORE;;FRATELLI D'ITALIA CON GIORGIA MELONI;1398;;
NOCERA SUPERIORE;;LEGA;433;;
NOCERA SUPERIORE;;NOI CON L'ITALIA - UDC;132;;
NOCERA SUPERIORE;IANNUZZI BARBATO;PARTITO DEMOCRATICO;1520;;
NOCERA SUPERIORE;;CIVICA POPOLARE LORENZIN;183;;
NOCERA SUPERIORE;;+EUROPA;172;;
NOCERA SUPERIORE;;ITALIA EUROPA INSIEME;37;;
NOCERA SUPERIORE;LAMBIASE GIOVANNI;LIBERI E UGUALI;158;;
NOCERA SUPERIORE;RESTAINO VALENTINA;POTERE AL POPOLO!;97;;
NOCERA SUPERIORE;GAMBARDELLA ALFONSO;IL POPOLO DELLA FAMIGLIA;80;;
NOCERA SUPERIORE;NACCHIA ANNA MARIA;ITALIA AGLI ITALIANI;74;;
NOCERA SUPERIORE;GERARDI GIOVANNA;CASAPOUND ITALIA;55;;
NOCERA SUPERIORE;PANICCI STEFANO;PARTITO COMUNISTA;33;;
NOCERA SUPERIORE;MORINELLI ROSALBA;PARTITO VALORE UMANO;13;;
NOCERA SUPERIORE;TORRE VALERIO;PER UNA SINISTRA RIVOLUZIONARIA;9;;
NOCERA SUPERIORE;FALANGA CAROLINA;PARTITO REPUBBLICANO ITALIANO - ALA;8;;
PAGANI;CIOFFI ANDREA;MOVIMENTO 5 STELLE;6976;;
PAGANI;MARRAZZO PASQUALE;FORZA ITALIA;3819;;
PAGANI;;NOI CON L'ITALIA - UDC;1477;;
PAGANI;;FRATELLI D'ITALIA CON GIORGIA MELONI;679;;
PAGANI;;LEGA;608;;
PAGANI;IANNUZZI BARBATO;PARTITO DEMOCRATICO;1656;;
PAGANI;;+EUROPA;129;;
PAGANI;;CIVICA POPOLARE LORENZIN;52;;
PAGANI;;ITALIA EUROPA INSIEME;32;;
PAGANI;LAMBIASE GIOVANNI;LIBERI E UGUALI;226;;
PAGANI;RESTAINO VALENTINA;POTERE AL POPOLO!;144;;
PAGANI;GERARDI GIOVANNA;CASAPOUND ITALIA;64;;
PAGANI;NACCHIA ANNA MARIA;ITALIA AGLI ITALIANI;61;;
PAGANI;GAMBARDELLA ALFONSO;IL POPOLO DELLA FAMIGLIA;58;;
PAGANI;PANICCI STEFANO;PARTITO COMUNISTA;35;;
PAGANI;TORRE VALERIO;PER UNA SINISTRA RIVOLUZIONARIA;13;;
PAGANI;FALANGA CAROLINA;PARTITO REPUBBLICANO ITALIANO - ALA;11;;
PAGANI;MORINELLI ROSALBA;PARTITO VALORE UMANO;7;;
PELLEZZANO;CIOFFI ANDREA;MOVIMENTO 5 STELLE;2451;;
PELLEZZANO;MARRAZZO PASQUALE;FORZA ITALIA;856;;
PELLEZZANO;;LEGA;304;;
PELLEZZANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;281;;
PELLEZZANO;;NOI CON L'ITALIA - UDC;40;;
PELLEZZANO;IANNUZZI BARBATO;PARTITO DEMOCRATICO;1131;;
PELLEZZANO;;+EUROPA;81;;
PELLEZZANO;;ITALIA EUROPA INSIEME;23;;
PELLEZZANO;;CIVICA POPOLARE LORENZIN;22;;
PELLEZZANO;LAMBIASE GIOVANNI;LIBERI E UGUALI;147;;
PELLEZZANO;RESTAINO VALENTINA;POTERE AL POPOLO!;62;;
PELLEZZANO;GAMBARDELLA ALFONSO;IL POPOLO DELLA FAMIGLIA;52;;
PELLEZZANO;GERARDI GIOVANNA;CASAPOUND ITALIA;44;;
PELLEZZANO;PANICCI STEFANO;PARTITO COMUNISTA;30;;
PELLEZZANO;NACCHIA ANNA MARIA;ITALIA AGLI ITALIANI;27;;
PELLEZZANO;FALANGA CAROLINA;PARTITO REPUBBLICANO ITALIANO - ALA;7;;
PELLEZZANO;MORINELLI ROSALBA;PARTITO VALORE UMANO;7;;
PELLEZZANO;TORRE VALERIO;PER UNA SINISTRA RIVOLUZIONARIA;5;;
POSITANO;CIOFFI ANDREA;MOVIMENTO 5 STELLE;908;;
POSITANO;MARRAZZO PASQUALE;FORZA ITALIA;439;;
POSITANO;;NOI CON L'ITALIA - UDC;175;;
POSITANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;68;;
POSITANO;;LEGA;58;;
POSITANO;IANNUZZI BARBATO;PARTITO DEMOCRATICO;196;;
POSITANO;;+EUROPA;25;;
POSITANO;;ITALIA EUROPA INSIEME;4;;
POSITANO;;CIVICA POPOLARE LORENZIN;2;;
POSITANO;LAMBIASE GIOVANNI;LIBERI E UGUALI;30;;
POSITANO;GERARDI GIOVANNA;CASAPOUND ITALIA;14;;
POSITANO;NACCHIA ANNA MARIA;ITALIA AGLI ITALIANI;12;;
POSITANO;RESTAINO VALENTINA;POTERE AL POPOLO!;9;;
POSITANO;GAMBARDELLA ALFONSO;IL POPOLO DELLA FAMIGLIA;6;;
POSITANO;PANICCI STEFANO;PARTITO COMUNISTA;3;;
POSITANO;MORINELLI ROSALBA;PARTITO VALORE UMANO;0;;
POSITANO;TORRE VALERIO;PER UNA SINISTRA RIVOLUZIONARIA;0;;
POSITANO;FALANGA CAROLINA;PARTITO REPUBBLICANO ITALIANO - ALA;0;;
PRAIANO;CIOFFI ANDREA;MOVIMENTO 5 STELLE;415;;
PRAIANO;MARRAZZO PASQUALE;FORZA ITALIA;199;;
PRAIANO;;NOI CON L'ITALIA - UDC;72;;
PRAIANO;;LEGA;29;;
PRAIANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;18;;
PRAIANO;IANNUZZI BARBATO;PARTITO DEMOCRATICO;190;;
PRAIANO;;+EUROPA;10;;
PRAIANO;;ITALIA EUROPA INSIEME;3;;
PRAIANO;;CIVICA POPOLARE LORENZIN;2;;
PRAIANO;LAMBIASE GIOVANNI;LIBERI E UGUALI;29;;
PRAIANO;RESTAINO VALENTINA;POTERE AL POPOLO!;10;;
PRAIANO;NACCHIA ANNA MARIA;ITALIA AGLI ITALIANI;5;;
PRAIANO;GERARDI GIOVANNA;CASAPOUND ITALIA;3;;
PRAIANO;FALANGA CAROLINA;PARTITO REPUBBLICANO ITALIANO - ALA;3;;
