

Ente;Liste/Gruppi;Voti;
BUONABITACOLO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;46;;
BUONABITACOLO;LA SINISTRA;11;;
BUONABITACOLO;PARTITO COMUNISTA;9;;
BUONABITACOLO;EUROPA VERDE;9;;
BUONABITACOLO;CASAPOUND ITALIA - DESTRE UNITE;3;;
BUONABITACOLO;POPOLARI PER L'ITALIA;2;;
BUONABITACOLO;FORZA NUOVA;2;;
BUONABITACOLO;PARTITO ANIMALISTA;2;;
BUONABITACOLO;PARTITO PIRATA;1;;
BUONABITACOLO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1;;
CAGGIANO;LEGA SALVINI PREMIER;389;;
CAGGIANO;PARTITO DEMOCRATICO;336;;
CAGGIANO;MOVIMENTO 5 STELLE;316;;
CAGGIANO;FRATELLI D'ITALIA;207;;
CAGGIANO;FORZA ITALIA;130;;
CAGGIANO;EUROPA VERDE;69;;
CAGGIANO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;38;;
CAGGIANO;PARTITO COMUNISTA;16;;
CAGGIANO;LA SINISTRA;14;;
CAGGIANO;PARTITO ANIMALISTA;14;;
CAGGIANO;FORZA NUOVA;7;;
CAGGIANO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;6;;
CAGGIANO;PARTITO PIRATA;5;;
CAGGIANO;CASAPOUND ITALIA - DESTRE UNITE;4;;
CAGGIANO;POPOLARI PER L'ITALIA;1;;
CALVANICO;PARTITO DEMOCRATICO;167;;
CALVANICO;MOVIMENTO 5 STELLE;154;;
CALVANICO;LEGA SALVINI PREMIER;115;;
CALVANICO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;73;;
CALVANICO;FRATELLI D'ITALIA;69;;
CALVANICO;FORZA ITALIA;57;;
CALVANICO;EUROPA VERDE;13;;
CALVANICO;LA SINISTRA;10;;
CALVANICO;PARTITO COMUNISTA;9;;
CALVANICO;PARTITO ANIMALISTA;2;;
CALVANICO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1;;
CALVANICO;PARTITO PIRATA;1;;
CALVANICO;POPOLARI PER L'ITALIA;0;;
CALVANICO;CASAPOUND ITALIA - DESTRE UNITE;0;;
CALVANICO;FORZA NUOVA;0;;
CAMEROTA;LEGA SALVINI PREMIER;713;;
CAMEROTA;PARTITO DEMOCRATICO;364;;
CAMEROTA;MOVIMENTO 5 STELLE;336;;
CAMEROTA;FORZA ITALIA;272;;
CAMEROTA;FRATELLI D'ITALIA;213;;
CAMEROTA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;124;;
CAMEROTA;LA SINISTRA;27;;
CAMEROTA;EUROPA VERDE;25;;
CAMEROTA;PARTITO COMUNISTA;11;;
CAMEROTA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;7;;
CAMEROTA;CASAPOUND ITALIA - DESTRE UNITE;6;;
CAMEROTA;FORZA NUOVA;6;;
CAMEROTA;POPOLARI PER L'ITALIA;5;;
CAMEROTA;PARTITO ANIMALISTA;5;;
CAMEROTA;PARTITO PIRATA;4;;
CAMPAGNA;MOVIMENTO 5 STELLE;2180;;
CAMPAGNA;LEGA SALVINI PREMIER;1496;;
CAMPAGNA;PARTITO DEMOCRATICO;864;;
CAMPAGNA;FORZA ITALIA;713;;
CAMPAGNA;FRATELLI D'ITALIA;388;;
CAMPAGNA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;84;;
CAMPAGNA;LA SINISTRA;49;;
CAMPAGNA;EUROPA VERDE;42;;
CAMPAGNA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;24;;
CAMPAGNA;PARTITO COMUNISTA;21;;
CAMPAGNA;POPOLARI PER L'ITALIA;17;;
CAMPAGNA;PARTITO ANIMALISTA;12;;
CAMPAGNA;CASAPOUND ITALIA - DESTRE UNITE;7;;
CAMPAGNA;PARTITO PIRATA;5;;
CAMPAGNA;FORZA NUOVA;3;;
CAMPORA;FRATELLI D'ITALIA;45;;
CAMPORA;PARTITO DEMOCRATICO;45;;
CAMPORA;MOVIMENTO 5 STELLE;39;;
CAMPORA;LEGA SALVINI PREMIER;29;;
CAMPORA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;17;;
CAMPORA;FORZA ITALIA;15;;
CAMPORA;PARTITO ANIMALISTA;1;;
CAMPORA;EUROPA VERDE;1;;
CAMPORA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1;;
CAMPORA;LA SINISTRA;0;;
CAMPORA;PARTITO COMUNISTA;0;;
CAMPORA;POPOLARI PER L'ITALIA;0;;
CAMPORA;FORZA NUOVA;0;;
CAMPORA;PARTITO PIRATA;0;;
CAMPORA;CASAPOUND ITALIA - DESTRE UNITE;0;;
CANNALONGA;LEGA SALVINI PREMIER;105;;
CANNALONGA;PARTITO DEMOCRATICO;101;;
CANNALONGA;MOVIMENTO 5 STELLE;87;;
CANNALONGA;FORZA ITALIA;43;;
CANNALONGA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;29;;
CANNALONGA;FRATELLI D'ITALIA;20;;
CANNALONGA;PARTITO COMUNISTA;4;;
CANNALONGA;EUROPA VERDE;4;;
CANNALONGA;PARTITO ANIMALISTA;3;;
CANNALONGA;LA SINISTRA;3;;
CANNALONGA;FORZA NUOVA;2;;
CANNALONGA;POPOLARI PER L'ITALIA;1;;
CANNALONGA;PARTITO PIRATA;1;;
CANNALONGA;CASAPOUND ITALIA - DESTRE UNITE;1;;
