

Ente;Liste/Gruppi;Voti;
CAPUA;PARTITO PIRATA;18;;
CAPUA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;17;;
CAPUA;POPOLARI PER L'ITALIA;13;;
CAPUA;FORZA NUOVA;8;;
CARINARO;MOVIMENTO 5 STELLE;1587;;
CARINARO;LEGA SALVINI PREMIER;958;;
CARINARO;PARTITO DEMOCRATICO;749;;
CARINARO;FORZA ITALIA;439;;
CARINARO;FRATELLI D'ITALIA;134;;
CARINARO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;38;;
CARINARO;EUROPA VERDE;35;;
CARINARO;PARTITO COMUNISTA;35;;
CARINARO;LA SINISTRA;30;;
CARINARO;PARTITO ANIMALISTA;27;;
CARINARO;CASAPOUND ITALIA - DESTRE UNITE;7;;
CARINARO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;7;;
CARINARO;PARTITO PIRATA;6;;
CARINARO;POPOLARI PER L'ITALIA;6;;
CARINARO;FORZA NUOVA;4;;
CARINOLA;LEGA SALVINI PREMIER;840;;
CARINOLA;PARTITO DEMOCRATICO;761;;
CARINOLA;FORZA ITALIA;679;;
CARINOLA;MOVIMENTO 5 STELLE;590;;
CARINOLA;FRATELLI D'ITALIA;199;;
CARINOLA;EUROPA VERDE;33;;
CARINOLA;LA SINISTRA;28;;
CARINOLA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;28;;
CARINOLA;PARTITO COMUNISTA;24;;
CARINOLA;PARTITO PIRATA;11;;
CARINOLA;PARTITO ANIMALISTA;11;;
CARINOLA;POPOLARI PER L'ITALIA;5;;
CARINOLA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;5;;
CARINOLA;FORZA NUOVA;3;;
CARINOLA;CASAPOUND ITALIA - DESTRE UNITE;2;;
CASAGIOVE;LEGA SALVINI PREMIER;1810;;
CASAGIOVE;MOVIMENTO 5 STELLE;1520;;
CASAGIOVE;PARTITO DEMOCRATICO;834;;
CASAGIOVE;FORZA ITALIA;705;;
CASAGIOVE;FRATELLI D'ITALIA;168;;
CASAGIOVE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;108;;
CASAGIOVE;EUROPA VERDE;78;;
CASAGIOVE;LA SINISTRA;76;;
CASAGIOVE;PARTITO ANIMALISTA;36;;
CASAGIOVE;PARTITO COMUNISTA;21;;
CASAGIOVE;PARTITO PIRATA;20;;
CASAGIOVE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;15;;
CASAGIOVE;POPOLARI PER L'ITALIA;8;;
CASAGIOVE;FORZA NUOVA;7;;
CASAGIOVE;CASAPOUND ITALIA - DESTRE UNITE;3;;
CASAL DI PRINCIPE;MOVIMENTO 5 STELLE;4603;;
CASAL DI PRINCIPE;LEGA SALVINI PREMIER;2318;;
CASAL DI PRINCIPE;FORZA ITALIA;2188;;
CASAL DI PRINCIPE;PARTITO DEMOCRATICO;917;;
CASAL DI PRINCIPE;FRATELLI D'ITALIA;475;;
CASAL DI PRINCIPE;EUROPA VERDE;96;;
CASAL DI PRINCIPE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;92;;
CASAL DI PRINCIPE;PARTITO ANIMALISTA;83;;
CASAL DI PRINCIPE;LA SINISTRA;73;;
CASAL DI PRINCIPE;POPOLARI PER L'ITALIA;68;;
CASAL DI PRINCIPE;PARTITO COMUNISTA;46;;
CASAL DI PRINCIPE;CASAPOUND ITALIA - DESTRE UNITE;19;;
CASAL DI PRINCIPE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;18;;
CASAL DI PRINCIPE;FORZA NUOVA;15;;
CASAL DI PRINCIPE;PARTITO PIRATA;14;;
CASALUCE;MOVIMENTO 5 STELLE;2027;;
CASALUCE;LEGA SALVINI PREMIER;1292;;
CASALUCE;FORZA ITALIA;915;;
CASALUCE;PARTITO DEMOCRATICO;680;;
CASALUCE;FRATELLI D'ITALIA;314;;
CASALUCE;POPOLARI PER L'ITALIA;166;;
CASALUCE;EUROPA VERDE;52;;
CASALUCE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;50;;
CASALUCE;PARTITO ANIMALISTA;38;;
CASALUCE;LA SINISTRA;35;;
CASALUCE;PARTITO COMUNISTA;16;;
CASALUCE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;13;;
CASALUCE;FORZA NUOVA;9;;
CASALUCE;CASAPOUND ITALIA - DESTRE UNITE;9;;
CASALUCE;PARTITO PIRATA;8;;
CASAPESENNA;FORZA ITALIA;972;;
CASAPESENNA;LEGA SALVINI PREMIER;970;;
CASAPESENNA;MOVIMENTO 5 STELLE;791;;
CASAPESENNA;PARTITO DEMOCRATICO;537;;
CASAPESENNA;FRATELLI D'ITALIA;119;;
CASAPESENNA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;38;;
CASAPESENNA;EUROPA VERDE;18;;
CASAPESENNA;PARTITO ANIMALISTA;17;;
CASAPESENNA;LA SINISTRA;14;;
CASAPESENNA;PARTITO COMUNISTA;13;;
CASAPESENNA;POPOLARI PER L'ITALIA;8;;
CASAPESENNA;CASAPOUND ITALIA - DESTRE UNITE;6;;
CASAPESENNA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;4;;
CASAPESENNA;PARTITO PIRATA;2;;
CASAPESENNA;FORZA NUOVA;2;;
CASAPULLA;MOVIMENTO 5 STELLE;1671;;
CASAPULLA;LEGA SALVINI PREMIER;1403;;
CASAPULLA;FORZA ITALIA;749;;
CASAPULLA;PARTITO DEMOCRATICO;583;;
CASAPULLA;FRATELLI D'ITALIA;250;;
CASAPULLA;EUROPA VERDE;77;;
CASAPULLA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;65;;
CASAPULLA;LA SINISTRA;49;;
CASAPULLA;PARTITO COMUNISTA;47;;
CASAPULLA;PARTITO ANIMALISTA;44;;
CASAPULLA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;19;;
CASAPULLA;PARTITO PIRATA;12;;
CASAPULLA;POPOLARI PER L'ITALIA;10;;
CASAPULLA;CASAPOUND ITALIA - DESTRE UNITE;5;;
CASAPULLA;FORZA NUOVA;1;;
CASERTA;MOVIMENTO 5 STELLE;8397;;
CASERTA;PARTITO DEMOCRATICO;6472;;
CASERTA;LEGA SALVINI PREMIER;5468;;
CASERTA;FORZA ITALIA;3254;;
CASERTA;FRATELLI D'ITALIA;1552;;
CASERTA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;995;;
CASERTA;LA SINISTRA;575;;
CASERTA;EUROPA VERDE;570;;
CASERTA;PARTITO ANIMALISTA;195;;
CASERTA;PARTITO COMUNISTA;167;;
CASERTA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;71;;
CASERTA;POPOLARI PER L'ITALIA;70;;
CASERTA;CASAPOUND ITALIA - DESTRE UNITE;62;;
CASERTA;PARTITO PIRATA;62;;
CASERTA;FORZA NUOVA;34;;
CASTEL CAMPAGNANO;FORZA ITALIA;228;;
CASTEL CAMPAGNANO;PARTITO DEMOCRATICO;130;;
CASTEL CAMPAGNANO;MOVIMENTO 5 STELLE;127;;
CASTEL CAMPAGNANO;LEGA SALVINI PREMIER;114;;
CASTEL CAMPAGNANO;EUROPA VERDE;13;;
CASTEL CAMPAGNANO;FRATELLI D'ITALIA;8;;
CASTEL CAMPAGNANO;LA SINISTRA;4;;
CASTEL CAMPAGNANO;PARTITO ANIMALISTA;4;;
CASTEL CAMPAGNANO;PARTITO COMUNISTA;3;;
CASTEL CAMPAGNANO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;3;;
CASTEL CAMPAGNANO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1;;
