

Ente;Candidato;Liste/Gruppi;Voti lista;;
POGGIOMARINO;TURCHETTI FRANCESCO;POTERE AL POPOLO!;70;;
POGGIOMARINO;DELLA ROCCA MARIA;ITALIA AGLI ITALIANI;46;;
POGGIOMARINO;PETROCCO GERMANA;CASAPOUND ITALIA;40;;
POGGIOMARINO;PIRO OLGA;PER UNA SINISTRA RIVOLUZIONARIA;18;;
POGGIOMARINO;MAURO GIOVANNI;PARTITO REPUBBLICANO ITALIANO - ALA;12;;
ROCCARAINOLA;NAPPI SILVANA;MOVIMENTO 5 STELLE;2020;;
ROCCARAINOLA;CESA LORENZO;FORZA ITALIA;714;;
ROCCARAINOLA;;NOI CON L'ITALIA - UDC;135;;
ROCCARAINOLA;;FRATELLI D'ITALIA CON GIORGIA MELONI;122;;
ROCCARAINOLA;;LEGA;99;;
ROCCARAINOLA;MANZI ANDREA;PARTITO DEMOCRATICO;450;;
ROCCARAINOLA;;+EUROPA;18;;
ROCCARAINOLA;;ITALIA EUROPA INSIEME;13;;
ROCCARAINOLA;;CIVICA POPOLARE LORENZIN;11;;
ROCCARAINOLA;MONTANINO NICOLA;LIBERI E UGUALI;73;;
ROCCARAINOLA;DELLA ROCCA MARIA;ITALIA AGLI ITALIANI;44;;
ROCCARAINOLA;TURCHETTI FRANCESCO;POTERE AL POPOLO!;30;;
ROCCARAINOLA;PETROCCO GERMANA;CASAPOUND ITALIA;16;;
ROCCARAINOLA;MAURO GIOVANNI;PARTITO REPUBBLICANO ITALIANO - ALA;12;;
ROCCARAINOLA;VELTRE STOLFI GIUSEPPE;IL POPOLO DELLA FAMIGLIA;5;;
ROCCARAINOLA;PIRO OLGA;PER UNA SINISTRA RIVOLUZIONARIA;2;;
SAN GENNARO VESUVIANO;NAPPI SILVANA;MOVIMENTO 5 STELLE;3159;;
SAN GENNARO VESUVIANO;CESA LORENZO;FORZA ITALIA;1649;;
SAN GENNARO VESUVIANO;;LEGA;173;;
SAN GENNARO VESUVIANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;120;;
SAN GENNARO VESUVIANO;;NOI CON L'ITALIA - UDC;104;;
SAN GENNARO VESUVIANO;MANZI ANDREA;PARTITO DEMOCRATICO;433;;
SAN GENNARO VESUVIANO;;+EUROPA;23;;
SAN GENNARO VESUVIANO;;ITALIA EUROPA INSIEME;7;;
SAN GENNARO VESUVIANO;;CIVICA POPOLARE LORENZIN;3;;
SAN GENNARO VESUVIANO;MONTANINO NICOLA;LIBERI E UGUALI;109;;
SAN GENNARO VESUVIANO;TURCHETTI FRANCESCO;POTERE AL POPOLO!;42;;
SAN GENNARO VESUVIANO;DELLA ROCCA MARIA;ITALIA AGLI ITALIANI;28;;
SAN GENNARO VESUVIANO;PETROCCO GERMANA;CASAPOUND ITALIA;22;;
SAN GENNARO VESUVIANO;MAURO GIOVANNI;PARTITO REPUBBLICANO ITALIANO - ALA;7;;
SAN GENNARO VESUVIANO;PIRO OLGA;PER UNA SINISTRA RIVOLUZIONARIA;5;;
SAN GENNARO VESUVIANO;VELTRE STOLFI GIUSEPPE;IL POPOLO DELLA FAMIGLIA;5;;
SAN GIUSEPPE VESUVIANO;NAPPI SILVANA;MOVIMENTO 5 STELLE;7231;;
SAN GIUSEPPE VESUVIANO;CESA LORENZO;FORZA ITALIA;3677;;
SAN GIUSEPPE VESUVIANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;634;;
SAN GIUSEPPE VESUVIANO;;LEGA;623;;
