

Ente;Candidato;Liste/Gruppi;Voti lista;;
AVELLA;;FRATELLI D'ITALIA CON GIORGIA MELONI;99;;
AVELLA;;NOI CON L'ITALIA - UDC;36;;
AVELLA;FAMIGLIETTI LUIGI;PARTITO DEMOCRATICO;332;;
AVELLA;;CIVICA POPOLARE LORENZIN;19;;
AVELLA;;+EUROPA;18;;
AVELLA;;ITALIA EUROPA INSIEME;8;;
AVELLA;CORMONS LUCIA;PARTITO VALORE UMANO;115;;
AVELLA;CUCCINIELLO ALFREDO;LIBERI E UGUALI;41;;
AVELLA;GUERRIERO ROCCO;ITALIA AGLI ITALIANI;26;;
AVELLA;TROISI SOFIA;POTERE AL POPOLO!;23;;
AVELLA;GENZALE ANTONIO;CASAPOUND ITALIA;24;;
AVELLA;PETRACCA BENIAMINO;PER UNA SINISTRA RIVOLUZIONARIA;7;;
AVELLA;MARENGO FIORENZO;PARTITO COMUNISTA;4;;
AVELLA;DONATIELLO MARIA;IL POPOLO DELLA FAMIGLIA;3;;
AVELLA;MANGANIELLO LUIGI;PARTITO REPUBBLICANO ITALIANO - ALA;2;;
AVELLINO;GRASSI UGO;MOVIMENTO 5 STELLE;10950;;
AVELLINO;FAMIGLIETTI LUIGI;PARTITO DEMOCRATICO;5446;;
AVELLINO;;+EUROPA;655;;
AVELLINO;;CIVICA POPOLARE LORENZIN;345;;
AVELLINO;;ITALIA EUROPA INSIEME;245;;
AVELLINO;GALATI GIUSEPPE;FORZA ITALIA;3816;;
AVELLINO;;LEGA;1555;;
AVELLINO;;FRATELLI D'ITALIA CON GIORGIA MELONI;1071;;
AVELLINO;;NOI CON L'ITALIA - UDC;282;;
AVELLINO;CUCCINIELLO ALFREDO;LIBERI E UGUALI;1295;;
AVELLINO;TROISI SOFIA;POTERE AL POPOLO!;538;;
AVELLINO;GENZALE ANTONIO;CASAPOUND ITALIA;247;;
AVELLINO;MARENGO FIORENZO;PARTITO COMUNISTA;107;;
AVELLINO;DONATIELLO MARIA;IL POPOLO DELLA FAMIGLIA;98;;
AVELLINO;GUERRIERO ROCCO;ITALIA AGLI ITALIANI;88;;
AVELLINO;CORMONS LUCIA;PARTITO VALORE UMANO;53;;
AVELLINO;MANGANIELLO LUIGI;PARTITO REPUBBLICANO ITALIANO - ALA;35;;
AVELLINO;PETRACCA BENIAMINO;PER UNA SINISTRA RIVOLUZIONARIA;32;;
BAGNOLI IRPINO;GRASSI UGO;MOVIMENTO 5 STELLE;656;;
BAGNOLI IRPINO;FAMIGLIETTI LUIGI;PARTITO DEMOCRATICO;273;;
BAGNOLI IRPINO;;CIVICA POPOLARE LORENZIN;118;;
BAGNOLI IRPINO;;ITALIA EUROPA INSIEME;10;;
BAGNOLI IRPINO;;+EUROPA;10;;
BAGNOLI IRPINO;GALATI GIUSEPPE;FORZA ITALIA;173;;
BAGNOLI IRPINO;;LEGA;103;;
BAGNOLI IRPINO;;FRATELLI D'ITALIA CON GIORGIA MELONI;83;;
BAGNOLI IRPINO;;NOI CON L'ITALIA - UDC;16;;
BAGNOLI IRPINO;CUCCINIELLO ALFREDO;LIBERI E UGUALI;57;;
BAGNOLI IRPINO;TROISI SOFIA;POTERE AL POPOLO!;35;;
BAGNOLI IRPINO;MARENGO FIORENZO;PARTITO COMUNISTA;9;;
BAGNOLI IRPINO;GENZALE ANTONIO;CASAPOUND ITALIA;6;;
BAGNOLI IRPINO;DONATIELLO MARIA;IL POPOLO DELLA FAMIGLIA;5;;
BAGNOLI IRPINO;PETRACCA BENIAMINO;PER UNA SINISTRA RIVOLUZIONARIA;5;;
BAGNOLI IRPINO;GUERRIERO ROCCO;ITALIA AGLI ITALIANI;3;;
BAGNOLI IRPINO;CORMONS LUCIA;PARTITO VALORE UMANO;0;;
BAGNOLI IRPINO;MANGANIELLO LUIGI;PARTITO REPUBBLICANO ITALIANO - ALA;0;;
BAIANO;GRASSI UGO;MOVIMENTO 5 STELLE;1094;;
BAIANO;GALATI GIUSEPPE;FORZA ITALIA;527;;
BAIANO;;LEGA;118;;
BAIANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;98;;
BAIANO;;NOI CON L'ITALIA - UDC;29;;
BAIANO;FAMIGLIETTI LUIGI;PARTITO DEMOCRATICO;373;;
BAIANO;;+EUROPA;18;;
BAIANO;;CIVICA POPOLARE LORENZIN;9;;
BAIANO;;ITALIA EUROPA INSIEME;4;;
BAIANO;CUCCINIELLO ALFREDO;LIBERI E UGUALI;49;;
BAIANO;TROISI SOFIA;POTERE AL POPOLO!;25;;
BAIANO;CORMONS LUCIA;PARTITO VALORE UMANO;18;;
BAIANO;GENZALE ANTONIO;CASAPOUND ITALIA;10;;
BAIANO;GUERRIERO ROCCO;ITALIA AGLI ITALIANI;6;;
BAIANO;MANGANIELLO LUIGI;PARTITO REPUBBLICANO ITALIANO - ALA;4;;
BAIANO;MARENGO FIORENZO;PARTITO COMUNISTA;2;;
BAIANO;PETRACCA BENIAMINO;PER UNA SINISTRA RIVOLUZIONARIA;2;;
BAIANO;DONATIELLO MARIA;IL POPOLO DELLA FAMIGLIA;1;;
BASELICE;GRASSI UGO;MOVIMENTO 5 STELLE;641;;
BASELICE;GALATI GIUSEPPE;FORZA ITALIA;120;;
BASELICE;;LEGA;77;;
BASELICE;;FRATELLI D'ITALIA CON GIORGIA MELONI;16;;
BASELICE;;NOI CON L'ITALIA - UDC;12;;
BASELICE;FAMIGLIETTI LUIGI;PARTITO DEMOCRATICO;185;;
BASELICE;;+EUROPA;16;;
BASELICE;;CIVICA POPOLARE LORENZIN;8;;
