

Ente;Candidato;;Liste/Gruppi;Voti lista;;Voti candidato
BARONISSI;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;303;;
BARONISSI;;;CALDORO PRESIDENTE;203;;
BARONISSI;;;NOI SUD;139;;
BARONISSI;;;NCD - CAMPANIA POPOLARE;44;;
BARONISSI;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;9;;
BARONISSI;;;POPOLARI PER L'ITALIA;8;;
BARONISSI;;;MAI PIU' LA TERRA DEI FUOCHI;5;;
BARONISSI;CIARAMBINO VALERIA;;;;;1194
BARONISSI;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1059;;
BARONISSI;VOZZA SALVATORE;;;;;116
BARONISSI;;;SINISTRA AL LAVORO;163;;
BARONISSI;ESPOSITO MARCO;;;;;112
BARONISSI;;;MO! LISTA CIVICA CAMPANIA;29;;
BATTIPAGLIA;DE LUCA VINCENZO;;;;;10262
BATTIPAGLIA;;;PARTITO DEMOCRATICO;2745;;
BATTIPAGLIA;;;DE LUCA PRESIDENTE;2402;;
BATTIPAGLIA;;;CAMPANIA LIBERA;1106;;
BATTIPAGLIA;;;UNIONE DI CENTRO;734;;
BATTIPAGLIA;;;PARTITO SOCIALISTA ITALIANO;652;;
BATTIPAGLIA;;;CENTRO DEMOCRATICO-SCELTA CIVICA;483;;
BATTIPAGLIA;;;DAVVERO-VERDI;169;;
BATTIPAGLIA;;;ITALIA DEI VALORI;93;;
BATTIPAGLIA;;;CAMPANIA IN RETE;51;;
BATTIPAGLIA;CALDORO STEFANO;;;;;6428
BATTIPAGLIA;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;2496;;
BATTIPAGLIA;;;CALDORO PRESIDENTE;1925;;
BATTIPAGLIA;;;FORZA ITALIA;1327;;
BATTIPAGLIA;;;NOI SUD;643;;
BATTIPAGLIA;;;NCD - CAMPANIA POPOLARE;142;;
BATTIPAGLIA;;;POPOLARI PER L'ITALIA;69;;
BATTIPAGLIA;;;MAI PIU' LA TERRA DEI FUOCHI;63;;
BATTIPAGLIA;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;15;;
BATTIPAGLIA;CIARAMBINO VALERIA;;;;;3457
BATTIPAGLIA;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;3324;;
BATTIPAGLIA;VOZZA SALVATORE;;;;;605
BATTIPAGLIA;;;SINISTRA AL LAVORO;823;;
BATTIPAGLIA;ESPOSITO MARCO;;;;;49
BATTIPAGLIA;;;MO! LISTA CIVICA CAMPANIA;35;;
BELLIZZI;DE LUCA VINCENZO;;;;;3965
BELLIZZI;;;DE LUCA PRESIDENTE;2461;;
BELLIZZI;;;PARTITO DEMOCRATICO;621;;
BELLIZZI;;;CAMPANIA LIBERA;323;;
BELLIZZI;;;CENTRO DEMOCRATICO-SCELTA CIVICA;109;;
BELLIZZI;;;PARTITO SOCIALISTA ITALIANO;88;;
BELLIZZI;;;ITALIA DEI VALORI;64;;
BELLIZZI;;;UNIONE DI CENTRO;49;;
BELLIZZI;;;DAVVERO-VERDI;31;;
BELLIZZI;;;CAMPANIA IN RETE;19;;
BELLIZZI;CALDORO STEFANO;;;;;1209
BELLIZZI;;;FORZA ITALIA;430;;
BELLIZZI;;;NOI SUD;271;;
BELLIZZI;;;CALDORO PRESIDENTE;184;;
BELLIZZI;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;167;;
BELLIZZI;;;NCD - CAMPANIA POPOLARE;40;;
BELLIZZI;;;POPOLARI PER L'ITALIA;7;;
BELLIZZI;;;MAI PIU' LA TERRA DEI FUOCHI;7;;
BELLIZZI;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;5;;
BELLIZZI;CIARAMBINO VALERIA;;;;;753
BELLIZZI;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;706;;
BELLIZZI;VOZZA SALVATORE;;;;;53
BELLIZZI;;;SINISTRA AL LAVORO;58;;
BELLIZZI;ESPOSITO MARCO;;;;;11
BELLIZZI;;;MO! LISTA CIVICA CAMPANIA;11;;
BELLOSGUARDO;DE LUCA VINCENZO;;;;;239
BELLOSGUARDO;;;PARTITO DEMOCRATICO;103;;
BELLOSGUARDO;;;CAMPANIA LIBERA;49;;
BELLOSGUARDO;;;DE LUCA PRESIDENTE;39;;
BELLOSGUARDO;;;PARTITO SOCIALISTA ITALIANO;19;;
BELLOSGUARDO;;;DAVVERO-VERDI;13;;
BELLOSGUARDO;;;CENTRO DEMOCRATICO-SCELTA CIVICA;5;;
BELLOSGUARDO;;;UNIONE DI CENTRO;3;;
BELLOSGUARDO;;;CAMPANIA IN RETE;2;;
BELLOSGUARDO;;;ITALIA DEI VALORI;0;;
BELLOSGUARDO;CALDORO STEFANO;;;;;128
BELLOSGUARDO;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;48;;
BELLOSGUARDO;;;CALDORO PRESIDENTE;33;;
BELLOSGUARDO;;;FORZA ITALIA;28;;
BELLOSGUARDO;;;POPOLARI PER L'ITALIA;6;;
BELLOSGUARDO;;;NOI SUD;5;;
BELLOSGUARDO;;;NCD - CAMPANIA POPOLARE;1;;
BELLOSGUARDO;;;MAI PIU' LA TERRA DEI FUOCHI;1;;
BELLOSGUARDO;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;0;;
BELLOSGUARDO;CIARAMBINO VALERIA;;;;;37
BELLOSGUARDO;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;37;;
BELLOSGUARDO;VOZZA SALVATORE;;;;;27
BELLOSGUARDO;;;SINISTRA AL LAVORO;30;;
BELLOSGUARDO;ESPOSITO MARCO;;;;;2
BELLOSGUARDO;;;MO! LISTA CIVICA CAMPANIA;2;;
BRACIGLIANO;DE LUCA VINCENZO;;;;;1979
BRACIGLIANO;;;PARTITO SOCIALISTA ITALIANO;1375;;
BRACIGLIANO;;;PARTITO DEMOCRATICO;379;;
BRACIGLIANO;;;DE LUCA PRESIDENTE;105;;
BRACIGLIANO;;;UNIONE DI CENTRO;67;;
BRACIGLIANO;;;DAVVERO-VERDI;35;;
BRACIGLIANO;;;CAMPANIA LIBERA;34;;
BRACIGLIANO;;;CENTRO DEMOCRATICO-SCELTA CIVICA;25;;
BRACIGLIANO;;;ITALIA DEI VALORI;7;;
BRACIGLIANO;;;CAMPANIA IN RETE;5;;
BRACIGLIANO;CALDORO STEFANO;;;;;670
BRACIGLIANO;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;166;;
BRACIGLIANO;;;FORZA ITALIA;162;;
BRACIGLIANO;;;CALDORO PRESIDENTE;129;;
BRACIGLIANO;;;NOI SUD;124;;
BRACIGLIANO;;;NCD - CAMPANIA POPOLARE;21;;
BRACIGLIANO;;;POPOLARI PER L'ITALIA;10;;
BRACIGLIANO;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;2;;
BRACIGLIANO;;;MAI PIU' LA TERRA DEI FUOCHI;1;;
BRACIGLIANO;CIARAMBINO VALERIA;;;;;196
BRACIGLIANO;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;196;;
BRACIGLIANO;VOZZA SALVATORE;;;;;32
BRACIGLIANO;;;SINISTRA AL LAVORO;34;;
BRACIGLIANO;ESPOSITO MARCO;;;;;9
BRACIGLIANO;;;MO! LISTA CIVICA CAMPANIA;9;;
BUCCINO;DE LUCA VINCENZO;;;;;1275
BUCCINO;;;DE LUCA PRESIDENTE;461;;
BUCCINO;;;PARTITO DEMOCRATICO;401;;
BUCCINO;;;CENTRO DEMOCRATICO-SCELTA CIVICA;168;;
BUCCINO;;;CAMPANIA LIBERA;82;;
BUCCINO;;;PARTITO SOCIALISTA ITALIANO;32;;
BUCCINO;;;DAVVERO-VERDI;28;;
BUCCINO;;;UNIONE DI CENTRO;21;;
BUCCINO;;;ITALIA DEI VALORI;4;;
BUCCINO;;;CAMPANIA IN RETE;4;;
BUCCINO;CALDORO STEFANO;;;;;640
BUCCINO;;;FORZA ITALIA;352;;
BUCCINO;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;141;;
BUCCINO;;;CALDORO PRESIDENTE;92;;
BUCCINO;;;NCD - CAMPANIA POPOLARE;23;;
BUCCINO;;;NOI SUD;11;;
BUCCINO;;;POPOLARI PER L'ITALIA;8;;
