

Ente;Candidato;;Liste/Gruppi;Voti lista;;Voti candidato
BISACCIA;;;NCD - CAMPANIA POPOLARE;63;;
BISACCIA;;;NOI SUD;6;;
BISACCIA;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;4;;
BISACCIA;;;POPOLARI PER L'ITALIA;2;;
BISACCIA;;;MAI PIU' LA TERRA DEI FUOCHI;2;;
BISACCIA;VOZZA SALVATORE;;;;;189
BISACCIA;;;SINISTRA AL LAVORO;206;;
BISACCIA;CIARAMBINO VALERIA;;;;;178
BISACCIA;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;150;;
BISACCIA;ESPOSITO MARCO;;;;;4
BISACCIA;;
BONITO;DE LUCA VINCENZO;;;;;472
BONITO;;;DAVVERO-VERDI;163;;
BONITO;;;PARTITO DEMOCRATICO;107;;
BONITO;;;DE LUCA PRESIDENTE;67;;
BONITO;;;CAMPANIA LIBERA;46;;
BONITO;;;CENTRO DEMOCRATICO-SCELTA CIVICA;44;;
BONITO;;;UNIONE DI CENTRO;16;;
BONITO;;;ITALIA DEI VALORI;11;;
BONITO;;;CAMPANIA IN RETE;7;;
BONITO;;;PARTITO SOCIALISTA ITALIANO;1;;
BONITO;CALDORO STEFANO;;;;;351
BONITO;;;NCD - CAMPANIA POPOLARE;174;;
BONITO;;;FORZA ITALIA;89;;
BONITO;;;CALDORO PRESIDENTE;40;;
BONITO;;;NOI SUD;20;;
BONITO;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;14;;
BONITO;;;POPOLARI PER L'ITALIA;2;;
BONITO;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;2;;
BONITO;;;MAI PIU' LA TERRA DEI FUOCHI;2;;
BONITO;CIARAMBINO VALERIA;;;;;147
BONITO;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;146;;
BONITO;VOZZA SALVATORE;;;;;96
BONITO;;;SINISTRA AL LAVORO;100;;
BONITO;ESPOSITO MARCO;;;;;3
BONITO;;
CAIRANO;DE LUCA VINCENZO;;;;;100
CAIRANO;;;UNIONE DI CENTRO;47;;
CAIRANO;;;PARTITO DEMOCRATICO;28;;
CAIRANO;;;DE LUCA PRESIDENTE;20;;
CAIRANO;;;CENTRO DEMOCRATICO-SCELTA CIVICA;4;;
CAIRANO;;;CAMPANIA LIBERA;0;;
CAIRANO;;;CAMPANIA IN RETE;0;;
CAIRANO;;;PARTITO SOCIALISTA ITALIANO;0;;
CAIRANO;;;DAVVERO-VERDI;0;;
CAIRANO;;;ITALIA DEI VALORI;0;;
CAIRANO;CALDORO STEFANO;;;;;67
CAIRANO;;;CALDORO PRESIDENTE;38;;
CAIRANO;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;10;;
CAIRANO;;;NCD - CAMPANIA POPOLARE;10;;
CAIRANO;;;FORZA ITALIA;4;;
CAIRANO;;;NOI SUD;1;;
CAIRANO;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;1;;
CAIRANO;;;MAI PIU' LA TERRA DEI FUOCHI;0;;
CAIRANO;;;POPOLARI PER L'ITALIA;0;;
CAIRANO;CIARAMBINO VALERIA;;;;;2
CAIRANO;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;2;;
CAIRANO;VOZZA SALVATORE;;;;;0
CAIRANO;;;SINISTRA AL LAVORO;0;;
CAIRANO;ESPOSITO MARCO;;;;;0
CAIRANO;;
CALABRITTO;DE LUCA VINCENZO;;;;;463
CALABRITTO;;;PARTITO DEMOCRATICO;194;;
CALABRITTO;;;UNIONE DI CENTRO;74;;
CALABRITTO;;;DE LUCA PRESIDENTE;57;;
CALABRITTO;;;PARTITO SOCIALISTA ITALIANO;53;;
CALABRITTO;;;ITALIA DEI VALORI;38;;
CALABRITTO;;;CENTRO DEMOCRATICO-SCELTA CIVICA;16;;
CALABRITTO;;;DAVVERO-VERDI;3;;
CALABRITTO;;;CAMPANIA IN RETE;2;;
CALABRITTO;;;CAMPANIA LIBERA;1;;
CALABRITTO;CALDORO STEFANO;;;;;363
CALABRITTO;;;FORZA ITALIA;123;;
CALABRITTO;;;NCD - CAMPANIA POPOLARE;116;;
CALABRITTO;;;CALDORO PRESIDENTE;58;;
CALABRITTO;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;57;;
CALABRITTO;;;NOI SUD;6;;
CALABRITTO;;;POPOLARI PER L'ITALIA;5;;
CALABRITTO;;;MAI PIU' LA TERRA DEI FUOCHI;1;;
CALABRITTO;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;0;;
CALABRITTO;CIARAMBINO VALERIA;;;;;178
CALABRITTO;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;170;;
CALABRITTO;VOZZA SALVATORE;;;;;21
CALABRITTO;;;SINISTRA AL LAVORO;18;;
CALABRITTO;ESPOSITO MARCO;;;;;1
CALABRITTO;;
CALITRI;DE LUCA VINCENZO;;;;;1506
CALITRI;;;PARTITO DEMOCRATICO;465;;
CALITRI;;;DE LUCA PRESIDENTE;426;;
CALITRI;;;UNIONE DI CENTRO;206;;
CALITRI;;;CENTRO DEMOCRATICO-SCELTA CIVICA;83;;
CALITRI;;;CAMPANIA LIBERA;62;;
CALITRI;;;ITALIA DEI VALORI;46;;
CALITRI;;;CAMPANIA IN RETE;32;;
CALITRI;;;PARTITO SOCIALISTA ITALIANO;19;;
CALITRI;;;DAVVERO-VERDI;15;;
CALITRI;CALDORO STEFANO;;;;;827
CALITRI;;;FORZA ITALIA;277;;
CALITRI;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;222;;
CALITRI;;;NCD - CAMPANIA POPOLARE;182;;
CALITRI;;;CALDORO PRESIDENTE;119;;
CALITRI;;;NOI SUD;8;;
CALITRI;;;POPOLARI PER L'ITALIA;6;;
CALITRI;;;MAI PIU' LA TERRA DEI FUOCHI;4;;
CALITRI;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;4;;
CALITRI;CIARAMBINO VALERIA;;;;;342
CALITRI;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;339;;
CALITRI;VOZZA SALVATORE;;;;;83
CALITRI;;;SINISTRA AL LAVORO;83;;
CALITRI;ESPOSITO MARCO;;;;;14
CALITRI;;
CANDIDA;DE LUCA VINCENZO;;;;;363
CANDIDA;;;CENTRO DEMOCRATICO-SCELTA CIVICA;215;;
CANDIDA;;;DE LUCA PRESIDENTE;80;;
CANDIDA;;;PARTITO DEMOCRATICO;28;;
CANDIDA;;;UNIONE DI CENTRO;21;;
CANDIDA;;;DAVVERO-VERDI;18;;
CANDIDA;;;CAMPANIA IN RETE;6;;
CANDIDA;;;ITALIA DEI VALORI;3;;
CANDIDA;;;PARTITO SOCIALISTA ITALIANO;2;;
CANDIDA;;;CAMPANIA LIBERA;0;;
CANDIDA;CALDORO STEFANO;;;;;82
CANDIDA;;;FORZA ITALIA;29;;
CANDIDA;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;20;;
CANDIDA;;;CALDORO PRESIDENTE;15;;
CANDIDA;;;NCD - CAMPANIA POPOLARE;13;;
CANDIDA;;;NOI SUD;5;;
CANDIDA;;;MAI PIU' LA TERRA DEI FUOCHI;2;;
CANDIDA;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;0;;
CANDIDA;;;POPOLARI PER L'ITALIA;0;;
CANDIDA;CIARAMBINO VALERIA;;;;;65
CANDIDA;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;49;;
CANDIDA;VOZZA SALVATORE;;;;;10
CANDIDA;;;SINISTRA AL LAVORO;9;;
CANDIDA;ESPOSITO MARCO;;;;;3
CANDIDA;;
CAPOSELE;DE LUCA VINCENZO;;;;;752
CAPOSELE;;;PARTITO DEMOCRATICO;443;;
CAPOSELE;;;DE LUCA PRESIDENTE;91;;
CAPOSELE;;;CENTRO DEMOCRATICO-SCELTA CIVICA;84;;
CAPOSELE;;;ITALIA DEI VALORI;67;;
CAPOSELE;;;UNIONE DI CENTRO;28;;
CAPOSELE;;;CAMPANIA LIBERA;5;;
CAPOSELE;;;DAVVERO-VERDI;4;;
CAPOSELE;;;PARTITO SOCIALISTA ITALIANO;4;;
CAPOSELE;;;CAMPANIA IN RETE;3;;
CAPOSELE;CALDORO STEFANO;;;;;376
CAPOSELE;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;148;;
CAPOSELE;;;FORZA ITALIA;137;;
CAPOSELE;;;NCD - CAMPANIA POPOLARE;38;;
CAPOSELE;;;CALDORO PRESIDENTE;20;;
CAPOSELE;;;NOI SUD;11;;
CAPOSELE;;;POPOLARI PER L'ITALIA;10;;
CAPOSELE;;;MAI PIU' LA TERRA DEI FUOCHI;3;;
CAPOSELE;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;1;;
CAPOSELE;CIARAMBINO VALERIA;;;;;235
