

Ente;Candidato;;Liste/Gruppi;Voti lista;;Voti candidato
BAIA E LATINA;;;MO! LISTA CIVICA CAMPANIA;13;;
BELLONA;CALDORO STEFANO;;;;;1166
BELLONA;;;FORZA ITALIA;524;;
BELLONA;;;CALDORO PRESIDENTE;362;;
BELLONA;;;NCD - CAMPANIA POPOLARE;100;;
BELLONA;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;98;;
BELLONA;;;POPOLARI PER L'ITALIA;23;;
BELLONA;;;NOI SUD;9;;
BELLONA;;;MAI PIU' LA TERRA DEI FUOCHI;2;;
BELLONA;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;2;;
BELLONA;DE LUCA VINCENZO;;;;;698
BELLONA;;;PARTITO DEMOCRATICO;357;;
BELLONA;;;CAMPANIA LIBERA;129;;
BELLONA;;;CAMPANIA IN RETE;92;;
BELLONA;;;CENTRO DEMOCRATICO-SCELTA CIVICA;20;;
BELLONA;;;UNIONE DI CENTRO;18;;
BELLONA;;;ITALIA DEI VALORI;11;;
BELLONA;;;PARTITO SOCIALISTA ITALIANO;9;;
BELLONA;;;DAVVERO-VERDI;6;;
BELLONA;CIARAMBINO VALERIA;;;;;414
BELLONA;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;338;;
BELLONA;VOZZA SALVATORE;;;;;13
BELLONA;;;SINISTRA AL LAVORO;12;;
BELLONA;ESPOSITO MARCO;;;;;4
BELLONA;;;MO! LISTA CIVICA CAMPANIA;4;;
CAIANELLO;CALDORO STEFANO;;;;;355
CAIANELLO;;;FORZA ITALIA;184;;
CAIANELLO;;;CALDORO PRESIDENTE;93;;
CAIANELLO;;;NOI SUD;27;;
CAIANELLO;;;NCD - CAMPANIA POPOLARE;19;;
CAIANELLO;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;18;;
CAIANELLO;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;7;;
CAIANELLO;;;MAI PIU' LA TERRA DEI FUOCHI;3;;
CAIANELLO;;;POPOLARI PER L'ITALIA;2;;
CAIANELLO;DE LUCA VINCENZO;;;;;261
CAIANELLO;;;PARTITO DEMOCRATICO;172;;
CAIANELLO;;;CENTRO DEMOCRATICO-SCELTA CIVICA;24;;
CAIANELLO;;;UNIONE DI CENTRO;19;;
CAIANELLO;;;PARTITO SOCIALISTA ITALIANO;13;;
CAIANELLO;;;CAMPANIA IN RETE;11;;
CAIANELLO;;;ITALIA DEI VALORI;10;;
CAIANELLO;;;CAMPANIA LIBERA;6;;
CAIANELLO;;;DAVVERO-VERDI;0;;
CAIANELLO;CIARAMBINO VALERIA;;;;;194
CAIANELLO;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;190;;
CAIANELLO;VOZZA SALVATORE;;;;;12
CAIANELLO;;;SINISTRA AL LAVORO;12;;
CAIANELLO;ESPOSITO MARCO;;;;;2
CAIANELLO;;;MO! LISTA CIVICA CAMPANIA;2;;
CAIAZZO;CALDORO STEFANO;;;;;1121
CAIAZZO;;;FORZA ITALIA;659;;
CAIAZZO;;;CALDORO PRESIDENTE;170;;
CAIAZZO;;;NCD - CAMPANIA POPOLARE;145;;
CAIAZZO;;;NOI SUD;62;;
CAIAZZO;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;45;;
CAIAZZO;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;9;;
CAIAZZO;;;MAI PIU' LA TERRA DEI FUOCHI;6;;
CAIAZZO;;;POPOLARI PER L'ITALIA;3;;
CAIAZZO;DE LUCA VINCENZO;;;;;933
CAIAZZO;;;PARTITO DEMOCRATICO;643;;
CAIAZZO;;;CAMPANIA LIBERA;124;;
CAIAZZO;;;CAMPANIA IN RETE;54;;
CAIAZZO;;;CENTRO DEMOCRATICO-SCELTA CIVICA;37;;
CAIAZZO;;;UNIONE DI CENTRO;28;;
CAIAZZO;;;ITALIA DEI VALORI;14;;
CAIAZZO;;;PARTITO SOCIALISTA ITALIANO;5;;
CAIAZZO;;;DAVVERO-VERDI;4;;
CAIAZZO;CIARAMBINO VALERIA;;;;;319
CAIAZZO;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;319;;
CAIAZZO;ESPOSITO MARCO;;;;;83
CAIAZZO;;;MO! LISTA CIVICA CAMPANIA;84;;
CAIAZZO;VOZZA SALVATORE;;;;;38
CAIAZZO;;;SINISTRA AL LAVORO;36;;
CALVI RISORTA;DE LUCA VINCENZO;;;;;1056
CALVI RISORTA;;;PARTITO DEMOCRATICO;578;;
CALVI RISORTA;;;CAMPANIA IN RETE;149;;
CALVI RISORTA;;;UNIONE DI CENTRO;132;;
CALVI RISORTA;;;CAMPANIA LIBERA;79;;
CALVI RISORTA;;;CENTRO DEMOCRATICO-SCELTA CIVICA;59;;
