

Ente;Candidato;;Liste/Gruppi;Voti lista;;Voti candidato
CASTELFRANCO IN MISCANO;;;POPOLARI PER L'ITALIA;2;;
CASTELFRANCO IN MISCANO;;;MAI PIU' LA TERRA DEI FUOCHI;2;;
CASTELFRANCO IN MISCANO;;;NOI SUD;1;;
CASTELFRANCO IN MISCANO;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;1;;
CASTELFRANCO IN MISCANO;CIARAMBINO VALERIA;;;;;57
CASTELFRANCO IN MISCANO;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;57;;
CASTELFRANCO IN MISCANO;VOZZA SALVATORE;;;;;2
CASTELFRANCO IN MISCANO;;;SINISTRA AL LAVORO;2;;
CASTELFRANCO IN MISCANO;ESPOSITO MARCO;;;;;0
CASTELFRANCO IN MISCANO;;
CASTELPAGANO;CALDORO STEFANO;;;;;437
CASTELPAGANO;;;FORZA ITALIA;353;;
CASTELPAGANO;;;NCD - CAMPANIA POPOLARE;55;;
CASTELPAGANO;;;CALDORO PRESIDENTE;6;;
CASTELPAGANO;;;POPOLARI PER L'ITALIA;5;;
CASTELPAGANO;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;5;;
CASTELPAGANO;;;NOI SUD;3;;
CASTELPAGANO;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;1;;
CASTELPAGANO;;;MAI PIU' LA TERRA DEI FUOCHI;0;;
CASTELPAGANO;DE LUCA VINCENZO;;;;;112
CASTELPAGANO;;;PARTITO DEMOCRATICO;83;;
CASTELPAGANO;;;ITALIA DEI VALORI;12;;
CASTELPAGANO;;;DE LUCA PRESIDENTE;6;;
CASTELPAGANO;;;CAMPANIA IN RETE;5;;
CASTELPAGANO;;;CENTRO DEMOCRATICO-SCELTA CIVICA;3;;
CASTELPAGANO;;;DAVVERO-VERDI;1;;
CASTELPAGANO;;;CAMPANIA LIBERA;1;;
CASTELPAGANO;;;PARTITO SOCIALISTA ITALIANO;1;;
CASTELPAGANO;CIARAMBINO VALERIA;;;;;47
CASTELPAGANO;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;47;;
CASTELPAGANO;VOZZA SALVATORE;;;;;1
CASTELPAGANO;;;SINISTRA AL LAVORO;1;;
CASTELPAGANO;ESPOSITO MARCO;;;;;0
CASTELPAGANO;;
CASTELPOTO;DE LUCA VINCENZO;;;;;299
CASTELPOTO;;;PARTITO DEMOCRATICO;213;;
CASTELPOTO;;;DE LUCA PRESIDENTE;32;;
CASTELPOTO;;;ITALIA DEI VALORI;14;;
CASTELPOTO;;;PARTITO SOCIALISTA ITALIANO;13;;
CASTELPOTO;;;CENTRO DEMOCRATICO-SCELTA CIVICA;6;;
CASTELPOTO;;;CAMPANIA IN RETE;3;;
CASTELPOTO;;;CAMPANIA LIBERA;3;;
CASTELPOTO;;;DAVVERO-VERDI;2;;
CASTELPOTO;CALDORO STEFANO;;;;;277
CASTELPOTO;;;FORZA ITALIA;147;;
CASTELPOTO;;;NCD - CAMPANIA POPOLARE;50;;
CASTELPOTO;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;48;;
CASTELPOTO;;;CALDORO PRESIDENTE;17;;
CASTELPOTO;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;10;;
CASTELPOTO;;;MAI PIU' LA TERRA DEI FUOCHI;2;;
CASTELPOTO;;;POPOLARI PER L'ITALIA;0;;
CASTELPOTO;;;NOI SUD;0;;
CASTELPOTO;CIARAMBINO VALERIA;;;;;187
CASTELPOTO;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;189;;
CASTELPOTO;VOZZA SALVATORE;;;;;35
CASTELPOTO;;;SINISTRA AL LAVORO;34;;
CASTELPOTO;ESPOSITO MARCO;;;;;0
CASTELPOTO;;
CASTELVENERE;DE LUCA VINCENZO;;;;;403
CASTELVENERE;;;PARTITO DEMOCRATICO;249;;
CASTELVENERE;;;DE LUCA PRESIDENTE;45;;
CASTELVENERE;;;PARTITO SOCIALISTA ITALIANO;37;;
CASTELVENERE;;;CAMPANIA LIBERA;27;;
