

Ente;Candidato;Liste/Gruppi;Voti lista;;
FRANCOLISE;VELOTTI FILOMENA;IL POPOLO DELLA FAMIGLIA;8;;
FRANCOLISE;GIACOBONE GIOVANNA;PER UNA SINISTRA RIVOLUZIONARIA;6;;
FRANCOLISE;MOTTOLA VALERIO;LISTA DEL POPOLO PER LA COSTITUZIONE;2;;
FRANCOLISE;GUIDO ANIELLO;PARTITO VALORE UMANO;3;;
FRIGNANO;GRIMALDI NICOLA;MOVIMENTO 5 STELLE;2015;;
FRIGNANO;CASTIELLO GIUSEPPINA;FORZA ITALIA;1215;;
FRIGNANO;;LEGA;309;;
FRIGNANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;290;;
FRIGNANO;;NOI CON L'ITALIA - UDC;15;;
FRIGNANO;DELL'APROVITOLA MARIANNA;PARTITO DEMOCRATICO;339;;
FRIGNANO;;CIVICA POPOLARE LORENZIN;32;;
FRIGNANO;;+EUROPA;25;;
FRIGNANO;;ITALIA EUROPA INSIEME;10;;
FRIGNANO;BRUNO PASQUALE;ITALIA AGLI ITALIANI;220;;
FRIGNANO;CORVINO CARLO;LIBERI E UGUALI;88;;
FRIGNANO;DI FOGGIA ANGELA;POTERE AL POPOLO!;18;;
FRIGNANO;VOTA ANNA;CASAPOUND ITALIA;8;;
FRIGNANO;VELOTTI FILOMENA;IL POPOLO DELLA FAMIGLIA;8;;
FRIGNANO;PAOLUCCI LUCA;PARTITO COMUNISTA;5;;
FRIGNANO;GIACOBONE GIOVANNA;PER UNA SINISTRA RIVOLUZIONARIA;3;;
FRIGNANO;MOTTOLA VALERIO;LISTA DEL POPOLO PER LA COSTITUZIONE;1;;
FRIGNANO;GUIDO ANIELLO;PARTITO VALORE UMANO;0;;
GRAZZANISE;CASTIELLO GIUSEPPINA;FORZA ITALIA;944;;
GRAZZANISE;;FRATELLI D'ITALIA CON GIORGIA MELONI;537;;
GRAZZANISE;;LEGA;274;;
GRAZZANISE;;NOI CON L'ITALIA - UDC;21;;
GRAZZANISE;GRIMALDI NICOLA;MOVIMENTO 5 STELLE;1146;;
GRAZZANISE;DELL'APROVITOLA MARIANNA;PARTITO DEMOCRATICO;286;;
GRAZZANISE;;ITALIA EUROPA INSIEME;38;;
GRAZZANISE;;+EUROPA;21;;
GRAZZANISE;;CIVICA POPOLARE LORENZIN;14;;
GRAZZANISE;CORVINO CARLO;LIBERI E UGUALI;59;;
GRAZZANISE;BRUNO PASQUALE;ITALIA AGLI ITALIANI;30;;
GRAZZANISE;VOTA ANNA;CASAPOUND ITALIA;16;;
GRAZZANISE;VELOTTI FILOMENA;IL POPOLO DELLA FAMIGLIA;14;;
GRAZZANISE;PAOLUCCI LUCA;PARTITO COMUNISTA;12;;
GRAZZANISE;DI FOGGIA ANGELA;POTERE AL POPOLO!;10;;
GRAZZANISE;GIACOBONE GIOVANNA;PER UNA SINISTRA RIVOLUZIONARIA;2;;
GRAZZANISE;MOTTOLA VALERIO;LISTA DEL POPOLO PER LA COSTITUZIONE;1;;
GRAZZANISE;GUIDO ANIELLO;PARTITO VALORE UMANO;0;;
GRICIGNANO DI AVERSA;GRIMALDI NICOLA;MOVIMENTO 5 STELLE;3773;;
GRICIGNANO DI AVERSA;CASTIELLO GIUSEPPINA;FORZA ITALIA;1118;;
GRICIGNANO DI AVERSA;;LEGA;239;;
GRICIGNANO DI AVERSA;;FRATELLI D'ITALIA CON GIORGIA MELONI;233;;
GRICIGNANO DI AVERSA;;NOI CON L'ITALIA - UDC;20;;
GRICIGNANO DI AVERSA;DELL'APROVITOLA MARIANNA;PARTITO DEMOCRATICO;488;;
GRICIGNANO DI AVERSA;;+EUROPA;26;;
GRICIGNANO DI AVERSA;;ITALIA EUROPA INSIEME;15;;
GRICIGNANO DI AVERSA;;CIVICA POPOLARE LORENZIN;14;;
GRICIGNANO DI AVERSA;DI FOGGIA ANGELA;POTERE AL POPOLO!;53;;
GRICIGNANO DI AVERSA;CORVINO CARLO;LIBERI E UGUALI;45;;
GRICIGNANO DI AVERSA;BRUNO PASQUALE;ITALIA AGLI ITALIANI;25;;
GRICIGNANO DI AVERSA;VOTA ANNA;CASAPOUND ITALIA;9;;
GRICIGNANO DI AVERSA;VELOTTI FILOMENA;IL POPOLO DELLA FAMIGLIA;10;;
GRICIGNANO DI AVERSA;PAOLUCCI LUCA;PARTITO COMUNISTA;8;;
GRICIGNANO DI AVERSA;MOTTOLA VALERIO;LISTA DEL POPOLO PER LA COSTITUZIONE;7;;
GRICIGNANO DI AVERSA;GUIDO ANIELLO;PARTITO VALORE UMANO;4;;
GRICIGNANO DI AVERSA;GIACOBONE GIOVANNA;PER UNA SINISTRA RIVOLUZIONARIA;4;;
LUSCIANO;GRIMALDI NICOLA;MOVIMENTO 5 STELLE;4642;;
LUSCIANO;CASTIELLO GIUSEPPINA;FORZA ITALIA;1492;;
LUSCIANO;;LEGA;348;;
LUSCIANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;325;;
LUSCIANO;;NOI CON L'ITALIA - UDC;82;;
LUSCIANO;DELL'APROVITOLA MARIANNA;PARTITO DEMOCRATICO;643;;
LUSCIANO;;+EUROPA;120;;
LUSCIANO;;CIVICA POPOLARE LORENZIN;68;;
LUSCIANO;;ITALIA EUROPA INSIEME;12;;
LUSCIANO;CORVINO CARLO;LIBERI E UGUALI;89;;
