Ente;Candidato;Liste/Gruppi;Voti lista
SANT'ANTIMO;BARBAGALLO LIVIO;PER UNA SINISTRA RIVOLUZIONARIA;13
VILLARICCA;MICILLO SALVATORE;MOVIMENTO 5 STELLE;8946
VILLARICCA;FELE PALMIRA;FORZA ITALIA;2956
VILLARICCA;;LEGA;488
VILLARICCA;;FRATELLI D'ITALIA CON GIORGIA MELONI;373
VILLARICCA;;NOI CON L'ITALIA - UDC;336
VILLARICCA;PELLEGRINO GIUSEPPE;PARTITO DEMOCRATICO;1574
VILLARICCA;;#NOME?;51
VILLARICCA;;ITALIA EUROPA INSIEME;43
VILLARICCA;;CIVICA POPOLARE LORENZIN;29
VILLARICCA;PALUMBO ARCANGELO;LIBERI E UGUALI;742
VILLARICCA;ROMUALDO MAURO;POTERE AL POPOLO!;190
VILLARICCA;PACELLA SALVATORE;ITALIA AGLI ITALIANI;61
VILLARICCA;RICCIO VINCENZO;IL POPOLO DELLA FAMIGLIA;54
VILLARICCA;CERQUA ANTONIETTA;CASAPOUND ITALIA;50
VILLARICCA;BARBAGALLO LIVIO;PER UNA SINISTRA RIVOLUZIONARIA;16
