

Ente;Candidato;Liste/Gruppi;Voti lista;;
FURORE;ANSALONE CARMINE;LIBERI E UGUALI;7;;
FURORE;PICARDI GIOVANNA;ITALIA AGLI ITALIANI;3;;
FURORE;PETRILLO FRANCO;10 VOLTE MEGLIO;1;;
FURORE;CURCI VALENTINA;PER UNA SINISTRA RIVOLUZIONARIA;1;;
FURORE;DE FELICE PIO ANTONIO;POTERE AL POPOLO!;1;;
FURORE;VOTA FRANCESCO;CASAPOUND ITALIA;0;;
FURORE;ADINOLFI RAFFAELE;IL POPOLO DELLA FAMIGLIA;0;;
FURORE;SERGIO ALESSANDRO;PARTITO COMUNISTA;0;;
FURORE;GUARINIELLO ANNA;PARTITO VALORE UMANO;0;;
MAIORI;PROVENZA NICOLA;MOVIMENTO 5 STELLE;1125;;
MAIORI;ESPOSITO GENNARO;FORZA ITALIA;577;;
MAIORI;;LEGA;138;;
MAIORI;;FRATELLI D'ITALIA CON GIORGIA MELONI;137;;
MAIORI;;NOI CON L'ITALIA - UDC;83;;
MAIORI;DE LUCA PIERO;PARTITO DEMOCRATICO;534;;
MAIORI;;CIVICA POPOLARE LORENZIN;100;;
MAIORI;;+EUROPA;48;;
MAIORI;;ITALIA EUROPA INSIEME;25;;
MAIORI;ANSALONE CARMINE;LIBERI E UGUALI;75;;
MAIORI;DE FELICE PIO ANTONIO;POTERE AL POPOLO!;40;;
MAIORI;PICARDI GIOVANNA;ITALIA AGLI ITALIANI;22;;
MAIORI;VOTA FRANCESCO;CASAPOUND ITALIA;14;;
MAIORI;ADINOLFI RAFFAELE;IL POPOLO DELLA FAMIGLIA;14;;
MAIORI;SERGIO ALESSANDRO;PARTITO COMUNISTA;12;;
MAIORI;CURCI VALENTINA;PER UNA SINISTRA RIVOLUZIONARIA;5;;
MAIORI;PETRILLO FRANCO;10 VOLTE MEGLIO;4;;
MAIORI;GUARINIELLO ANNA;PARTITO VALORE UMANO;3;;
MERCATO SAN SEVERINO;PROVENZA NICOLA;MOVIMENTO 5 STELLE;5064;;
MERCATO SAN SEVERINO;ESPOSITO GENNARO;FORZA ITALIA;2063;;
MERCATO SAN SEVERINO;;FRATELLI D'ITALIA CON GIORGIA MELONI;569;;
MERCATO SAN SEVERINO;;LEGA;562;;
MERCATO SAN SEVERINO;;NOI CON L'ITALIA - UDC;127;;
MERCATO SAN SEVERINO;DE LUCA PIERO;PARTITO DEMOCRATICO;1700;;
MERCATO SAN SEVERINO;;+EUROPA;107;;
MERCATO SAN SEVERINO;;CIVICA POPOLARE LORENZIN;79;;
MERCATO SAN SEVERINO;;ITALIA EUROPA INSIEME;63;;
MERCATO SAN SEVERINO;ANSALONE CARMINE;LIBERI E UGUALI;1192;;
MERCATO SAN SEVERINO;DE FELICE PIO ANTONIO;POTERE AL POPOLO!;122;;
MERCATO SAN SEVERINO;ADINOLFI RAFFAELE;IL POPOLO DELLA FAMIGLIA;58;;
MERCATO SAN SEVERINO;VOTA FRANCESCO;CASAPOUND ITALIA;52;;
MERCATO SAN SEVERINO;PICARDI GIOVANNA;ITALIA AGLI ITALIANI;52;;
MERCATO SAN SEVERINO;SERGIO ALESSANDRO;PARTITO COMUNISTA;41;;
MERCATO SAN SEVERINO;CURCI VALENTINA;PER UNA SINISTRA RIVOLUZIONARIA;19;;
MERCATO SAN SEVERINO;GUARINIELLO ANNA;PARTITO VALORE UMANO;14;;
MERCATO SAN SEVERINO;PETRILLO FRANCO;10 VOLTE MEGLIO;8;;
MINORI;DE LUCA PIERO;PARTITO DEMOCRATICO;518;;
MINORI;;ITALIA EUROPA INSIEME;75;;
MINORI;;+EUROPA;26;;
MINORI;;CIVICA POPOLARE LORENZIN;6;;
MINORI;ESPOSITO GENNARO;FORZA ITALIA;258;;
MINORI;;FRATELLI D'ITALIA CON GIORGIA MELONI;142;;
MINORI;;LEGA;41;;
MINORI;;NOI CON L'ITALIA - UDC;25;;
MINORI;PROVENZA NICOLA;MOVIMENTO 5 STELLE;364;;
MINORI;ANSALONE CARMINE;LIBERI E UGUALI;42;;
MINORI;DE FELICE PIO ANTONIO;POTERE AL POPOLO!;29;;
MINORI;PICARDI GIOVANNA;ITALIA AGLI ITALIANI;7;;
MINORI;ADINOLFI RAFFAELE;IL POPOLO DELLA FAMIGLIA;6;;
MINORI;SERGIO ALESSANDRO;PARTITO COMUNISTA;6;;
MINORI;PETRILLO FRANCO;10 VOLTE MEGLIO;3;;
MINORI;CURCI VALENTINA;PER UNA SINISTRA RIVOLUZIONARIA;2;;
MINORI;VOTA FRANCESCO;CASAPOUND ITALIA;1;;
MINORI;GUARINIELLO ANNA;PARTITO VALORE UMANO;0;;
PELLEZZANO;PROVENZA NICOLA;MOVIMENTO 5 STELLE;2743;;
PELLEZZANO;ESPOSITO GENNARO;FORZA ITALIA;879;;
PELLEZZANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;327;;
PELLEZZANO;;LEGA;324;;
PELLEZZANO;;NOI CON L'ITALIA - UDC;45;;
PELLEZZANO;DE LUCA PIERO;PARTITO DEMOCRATICO;1157;;
PELLEZZANO;;+EUROPA;115;;
PELLEZZANO;;ITALIA EUROPA INSIEME;46;;
PELLEZZANO;;CIVICA POPOLARE LORENZIN;10;;
PELLEZZANO;ANSALONE CARMINE;LIBERI E UGUALI;178;;
PELLEZZANO;DE FELICE PIO ANTONIO;POTERE AL POPOLO!;82;;
PELLEZZANO;ADINOLFI RAFFAELE;IL POPOLO DELLA FAMIGLIA;50;;
PELLEZZANO;PICARDI GIOVANNA;ITALIA AGLI ITALIANI;39;;
PELLEZZANO;VOTA FRANCESCO;CASAPOUND ITALIA;34;;
PELLEZZANO;SERGIO ALESSANDRO;PARTITO COMUNISTA;29;;
PELLEZZANO;PETRILLO FRANCO;10 VOLTE MEGLIO;8;;
PELLEZZANO;GUARINIELLO ANNA;PARTITO VALORE UMANO;7;;
PELLEZZANO;CURCI VALENTINA;PER UNA SINISTRA RIVOLUZIONARIA;6;;
POSITANO;PROVENZA NICOLA;MOVIMENTO 5 STELLE;1028;;
POSITANO;ESPOSITO GENNARO;FORZA ITALIA;487;;
POSITANO;;NOI CON L'ITALIA - UDC;170;;
POSITANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;76;;
POSITANO;;LEGA;70;;
POSITANO;DE LUCA PIERO;PARTITO DEMOCRATICO;210;;
POSITANO;;+EUROPA;29;;
POSITANO;;ITALIA EUROPA INSIEME;5;;
POSITANO;;CIVICA POPOLARE LORENZIN;4;;
POSITANO;ANSALONE CARMINE;LIBERI E UGUALI;34;;
POSITANO;VOTA FRANCESCO;CASAPOUND ITALIA;16;;
POSITANO;DE FELICE PIO ANTONIO;POTERE AL POPOLO!;13;;
POSITANO;PICARDI GIOVANNA;ITALIA AGLI ITALIANI;12;;
POSITANO;ADINOLFI RAFFAELE;IL POPOLO DELLA FAMIGLIA;7;;
POSITANO;PETRILLO FRANCO;10 VOLTE MEGLIO;2;;
POSITANO;SERGIO ALESSANDRO;PARTITO COMUNISTA;2;;
POSITANO;CURCI VALENTINA;PER UNA SINISTRA RIVOLUZIONARIA;2;;
POSITANO;GUARINIELLO ANNA;PARTITO VALORE UMANO;1;;
PRAIANO;PROVENZA NICOLA;MOVIMENTO 5 STELLE;466;;
PRAIANO;ESPOSITO GENNARO;FORZA ITALIA;203;;
PRAIANO;;NOI CON L'ITALIA - UDC;63;;
PRAIANO;;LEGA;31;;
PRAIANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;26;;
PRAIANO;DE LUCA PIERO;PARTITO DEMOCRATICO;211;;
PRAIANO;;+EUROPA;15;;
PRAIANO;;CIVICA POPOLARE LORENZIN;5;;
PRAIANO;;ITALIA EUROPA INSIEME;2;;
PRAIANO;ANSALONE CARMINE;LIBERI E UGUALI;31;;
PRAIANO;DE FELICE PIO ANTONIO;POTERE AL POPOLO!;9;;
PRAIANO;PICARDI GIOVANNA;ITALIA AGLI ITALIANI;7;;
PRAIANO;VOTA FRANCESCO;CASAPOUND ITALIA;1;;
PRAIANO;CURCI VALENTINA;PER UNA SINISTRA RIVOLUZIONARIA;2;;
PRAIANO;PETRILLO FRANCO;10 VOLTE MEGLIO;1;;
PRAIANO;ADINOLFI RAFFAELE;IL POPOLO DELLA FAMIGLIA;1;;
PRAIANO;SERGIO ALESSANDRO;PARTITO COMUNISTA;1;;
PRAIANO;GUARINIELLO ANNA;PARTITO VALORE UMANO;1;;
RAVELLO;ESPOSITO GENNARO;FORZA ITALIA;353;;
RAVELLO;;LEGA;49;;
RAVELLO;;FRATELLI D'ITALIA CON GIORGIA MELONI;39;;
RAVELLO;;NOI CON L'ITALIA - UDC;23;;
RAVELLO;PROVENZA NICOLA;MOVIMENTO 5 STELLE;424;;
RAVELLO;DE LUCA PIERO;PARTITO DEMOCRATICO;250;;
RAVELLO;;+EUROPA;22;;
RAVELLO;;CIVICA POPOLARE LORENZIN;18;;
RAVELLO;;ITALIA EUROPA INSIEME;15;;
RAVELLO;ANSALONE CARMINE;LIBERI E UGUALI;22;;
RAVELLO;DE FELICE PIO ANTONIO;POTERE AL POPOLO!;7;;
RAVELLO;VOTA FRANCESCO;CASAPOUND ITALIA;5;;
RAVELLO;ADINOLFI RAFFAELE;IL POPOLO DELLA FAMIGLIA;4;;
RAVELLO;PICARDI GIOVANNA;ITALIA AGLI ITALIANI;5;;
RAVELLO;SERGIO ALESSANDRO;PARTITO COMUNISTA;4;;
RAVELLO;CURCI VALENTINA;PER UNA SINISTRA RIVOLUZIONARIA;2;;
RAVELLO;PETRILLO FRANCO;10 VOLTE MEGLIO;0;;
RAVELLO;GUARINIELLO ANNA;PARTITO VALORE UMANO;0;;
SALERNO;PROVENZA NICOLA;MOVIMENTO 5 STELLE;27317;;
SALERNO;DE LUCA PIERO;PARTITO DEMOCRATICO;13971;;
SALERNO;;+EUROPA;1925;;
SALERNO;;ITALIA EUROPA INSIEME;1196;;
SALERNO;;CIVICA POPOLARE LORENZIN;321;;
