

Ente;Liste/Gruppi;Voti;
CASTELPOTO;PARTITO PIRATA;1;;
CASTELPOTO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0;;
CASTELPOTO;CASAPOUND ITALIA - DESTRE UNITE;0;;
CASTELPOTO;FORZA NUOVA;0;;
CASTELVENERE;LEGA SALVINI PREMIER;257;;
CASTELVENERE;MOVIMENTO 5 STELLE;233;;
CASTELVENERE;PARTITO DEMOCRATICO;196;;
CASTELVENERE;FORZA ITALIA;143;;
CASTELVENERE;FRATELLI D'ITALIA;27;;
CASTELVENERE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;17;;
CASTELVENERE;EUROPA VERDE;14;;
CASTELVENERE;CASAPOUND ITALIA - DESTRE UNITE;8;;
CASTELVENERE;FORZA NUOVA;7;;
CASTELVENERE;LA SINISTRA;7;;
CASTELVENERE;PARTITO COMUNISTA;7;;
CASTELVENERE;PARTITO ANIMALISTA;4;;
CASTELVENERE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;3;;
CASTELVENERE;POPOLARI PER L'ITALIA;2;;
CASTELVENERE;PARTITO PIRATA;1;;
CASTELVETERE IN VAL FORTORE;LEGA SALVINI PREMIER;203;;
CASTELVETERE IN VAL FORTORE;MOVIMENTO 5 STELLE;76;;
CASTELVETERE IN VAL FORTORE;FORZA ITALIA;74;;
CASTELVETERE IN VAL FORTORE;PARTITO DEMOCRATICO;42;;
CASTELVETERE IN VAL FORTORE;FRATELLI D'ITALIA;23;;
CASTELVETERE IN VAL FORTORE;LA SINISTRA;6;;
CASTELVETERE IN VAL FORTORE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;6;;
CASTELVETERE IN VAL FORTORE;PARTITO COMUNISTA;3;;
CASTELVETERE IN VAL FORTORE;CASAPOUND ITALIA - DESTRE UNITE;2;;
CASTELVETERE IN VAL FORTORE;EUROPA VERDE;2;;
CASTELVETERE IN VAL FORTORE;POPOLARI PER L'ITALIA;1;;
CASTELVETERE IN VAL FORTORE;PARTITO ANIMALISTA;1;;
CASTELVETERE IN VAL FORTORE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0;;
CASTELVETERE IN VAL FORTORE;FORZA NUOVA;0;;
CASTELVETERE IN VAL FORTORE;PARTITO PIRATA;0;;
CAUTANO;MOVIMENTO 5 STELLE;410;;
CAUTANO;LEGA SALVINI PREMIER;334;;
CAUTANO;FORZA ITALIA;220;;
CAUTANO;PARTITO DEMOCRATICO;179;;
CAUTANO;FRATELLI D'ITALIA;48;;
CAUTANO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;42;;
CAUTANO;LA SINISTRA;22;;
CAUTANO;EUROPA VERDE;13;;
CAUTANO;PARTITO COMUNISTA;12;;
CAUTANO;PARTITO ANIMALISTA;12;;
CAUTANO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;6;;
CAUTANO;CASAPOUND ITALIA - DESTRE UNITE;5;;
CAUTANO;PARTITO PIRATA;4;;
CAUTANO;POPOLARI PER L'ITALIA;2;;
CAUTANO;FORZA NUOVA;1;;
CEPPALONI;LEGA SALVINI PREMIER;721;;
CEPPALONI;FORZA ITALIA;463;;
CEPPALONI;MOVIMENTO 5 STELLE;368;;
CEPPALONI;PARTITO DEMOCRATICO;133;;
CEPPALONI;FRATELLI D'ITALIA;46;;
CEPPALONI;LA SINISTRA;21;;
CEPPALONI;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;18;;
CEPPALONI;EUROPA VERDE;13;;
CEPPALONI;PARTITO COMUNISTA;11;;
CEPPALONI;PARTITO ANIMALISTA;10;;
CEPPALONI;CASAPOUND ITALIA - DESTRE UNITE;7;;
CEPPALONI;PARTITO PIRATA;4;;
CEPPALONI;FORZA NUOVA;2;;
CEPPALONI;POPOLARI PER L'ITALIA;1;;
CEPPALONI;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1;;
CERRETO SANNITA;LEGA SALVINI PREMIER;747;;
CERRETO SANNITA;MOVIMENTO 5 STELLE;318;;
CERRETO SANNITA;PARTITO DEMOCRATICO;292;;
CERRETO SANNITA;FORZA ITALIA;201;;
CERRETO SANNITA;FRATELLI D'ITALIA;48;;
CERRETO SANNITA;LA SINISTRA;43;;
CERRETO SANNITA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;34;;
CERRETO SANNITA;EUROPA VERDE;17;;
CERRETO SANNITA;PARTITO COMUNISTA;15;;
CERRETO SANNITA;PARTITO ANIMALISTA;7;;
CERRETO SANNITA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;2;;
CERRETO SANNITA;PARTITO PIRATA;2;;
CERRETO SANNITA;POPOLARI PER L'ITALIA;2;;
CERRETO SANNITA;FORZA NUOVA;1;;
CERRETO SANNITA;CASAPOUND ITALIA - DESTRE UNITE;1;;
CIRCELLO;LEGA SALVINI PREMIER;566;;
CIRCELLO;MOVIMENTO 5 STELLE;439;;
CIRCELLO;PARTITO DEMOCRATICO;248;;
CIRCELLO;FORZA ITALIA;205;;
CIRCELLO;FRATELLI D'ITALIA;51;;
CIRCELLO;EUROPA VERDE;17;;
CIRCELLO;LA SINISTRA;13;;
CIRCELLO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;12;;
CIRCELLO;PARTITO ANIMALISTA;8;;
CIRCELLO;PARTITO COMUNISTA;6;;
CIRCELLO;POPOLARI PER L'ITALIA;6;;
CIRCELLO;FORZA NUOVA;5;;
CIRCELLO;CASAPOUND ITALIA - DESTRE UNITE;4;;
CIRCELLO;PARTITO PIRATA;1;;
CIRCELLO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1;;
COLLE SANNITA;MOVIMENTO 5 STELLE;475;;
COLLE SANNITA;LEGA SALVINI PREMIER;352;;
COLLE SANNITA;FORZA ITALIA;277;;
COLLE SANNITA;PARTITO DEMOCRATICO;194;;
COLLE SANNITA;FRATELLI D'ITALIA;97;;
COLLE SANNITA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;23;;
COLLE SANNITA;LA SINISTRA;21;;
COLLE SANNITA;PARTITO ANIMALISTA;9;;
COLLE SANNITA;PARTITO COMUNISTA;9;;
COLLE SANNITA;EUROPA VERDE;8;;
COLLE SANNITA;CASAPOUND ITALIA - DESTRE UNITE;5;;
COLLE SANNITA;FORZA NUOVA;2;;
COLLE SANNITA;PARTITO PIRATA;2;;
COLLE SANNITA;POPOLARI PER L'ITALIA;1;;
COLLE SANNITA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0;;
CUSANO MUTRI;LEGA SALVINI PREMIER;781;;
CUSANO MUTRI;MOVIMENTO 5 STELLE;668;;
CUSANO MUTRI;FORZA ITALIA;367;;
CUSANO MUTRI;PARTITO DEMOCRATICO;284;;
CUSANO MUTRI;EUROPA VERDE;280;;
CUSANO MUTRI;FRATELLI D'ITALIA;65;;
CUSANO MUTRI;PARTITO COMUNISTA;52;;
CUSANO MUTRI;LA SINISTRA;31;;
CUSANO MUTRI;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;25;;
CUSANO MUTRI;PARTITO ANIMALISTA;22;;
CUSANO MUTRI;CASAPOUND ITALIA - DESTRE UNITE;7;;
CUSANO MUTRI;FORZA NUOVA;7;;
