

Ente;Liste/Gruppi;Voti;
BONITO;PARTITO ANIMALISTA;13;;
BONITO;FORZA NUOVA;9;;
BONITO;PARTITO COMUNISTA;6;;
BONITO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;5;;
BONITO;POPOLARI PER L'ITALIA;4;;
BONITO;PARTITO PIRATA;3;;
CAIRANO;PARTITO DEMOCRATICO;42;;
CAIRANO;MOVIMENTO 5 STELLE;22;;
CAIRANO;FORZA ITALIA;18;;
CAIRANO;LEGA SALVINI PREMIER;16;;
CAIRANO;FRATELLI D'ITALIA;16;;
CAIRANO;PARTITO ANIMALISTA;1;;
CAIRANO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;1;;
CAIRANO;PARTITO PIRATA;1;;
CAIRANO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0;;
CAIRANO;CASAPOUND ITALIA - DESTRE UNITE;0;;
CAIRANO;EUROPA VERDE;0;;
CAIRANO;POPOLARI PER L'ITALIA;0;;
CAIRANO;FORZA NUOVA;0;;
CAIRANO;PARTITO COMUNISTA;0;;
CAIRANO;LA SINISTRA;0;;
CALABRITTO;LEGA SALVINI PREMIER;262;;
CALABRITTO;PARTITO DEMOCRATICO;194;;
CALABRITTO;MOVIMENTO 5 STELLE;189;;
CALABRITTO;FRATELLI D'ITALIA;72;;
CALABRITTO;FORZA ITALIA;52;;
CALABRITTO;LA SINISTRA;36;;
CALABRITTO;EUROPA VERDE;13;;
CALABRITTO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;7;;
CALABRITTO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;7;;
CALABRITTO;PARTITO COMUNISTA;6;;
CALABRITTO;CASAPOUND ITALIA - DESTRE UNITE;6;;
CALABRITTO;PARTITO PIRATA;3;;
CALABRITTO;FORZA NUOVA;3;;
CALABRITTO;PARTITO ANIMALISTA;2;;
CALABRITTO;POPOLARI PER L'ITALIA;1;;
CALITRI;LEGA SALVINI PREMIER;539;;
CALITRI;MOVIMENTO 5 STELLE;498;;
CALITRI;PARTITO DEMOCRATICO;392;;
CALITRI;FORZA ITALIA;138;;
CALITRI;FRATELLI D'ITALIA;104;;
CALITRI;LA SINISTRA;63;;
CALITRI;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;40;;
CALITRI;EUROPA VERDE;27;;
CALITRI;PARTITO COMUNISTA;15;;
CALITRI;POPOLARI PER L'ITALIA;11;;
CALITRI;PARTITO ANIMALISTA;9;;
CALITRI;PARTITO PIRATA;6;;
CALITRI;FORZA NUOVA;6;;
CALITRI;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;4;;
CALITRI;CASAPOUND ITALIA - DESTRE UNITE;4;;
CANDIDA;MOVIMENTO 5 STELLE;266;;
CANDIDA;LEGA SALVINI PREMIER;114;;
CANDIDA;PARTITO DEMOCRATICO;110;;
CANDIDA;FORZA ITALIA;101;;
CANDIDA;FRATELLI D'ITALIA;22;;
